imagen,apertura_FWHM,n_estrellas,merr_mediana,merr_promedio,merr_p75
m92010,1,116,0.05,0.057206896551724146,0.07125
m92010,2,111,0.07,0.07993693693693693,0.1015
m92010,3,109,0.094,0.10687155963302751,0.136
m92010,4,108,0.117,0.14247222222222222,0.17775
m92010,5,108,0.137,0.1555462962962963,0.21275
m92010,10,86,0.152,0.1952674418604651,0.26975000000000005
m92011,1,88,0.0475,0.04834090909090909,0.068
m92011,2,85,0.069,0.07356470588235295,0.095
m92011,3,84,0.0825,0.10953571428571429,0.14825
m92011,4,84,0.1145,0.13807142857142857,0.17875
m92011,5,80,0.132,0.1635625,0.20400000000000001
m92011,10,63,0.125,0.16787301587301587,0.2165
m92014,1,80,0.0485,0.06,0.0645
m92014,2,79,0.073,0.08493670886075953,0.0985
m92014,3,72,0.1,0.10795833333333334,0.154
m92014,4,70,0.1255,0.1371857142857143,0.20875
m92014,5,69,0.165,0.18305797101449275,0.246
m92014,10,53,0.162,0.19511320754716982,0.262
m92015,1,105,0.053,0.06000000000000002,0.079
m92015,2,104,0.0745,0.0826153846153846,0.106
m92015,3,100,0.102,0.11724000000000002,0.15725
m92015,4,95,0.131,0.14958947368421052,0.203
m92015,5,92,0.154,0.1738369565217391,0.22425
m92015,10,71,0.154,0.18798591549295776,0.267
